reason_1,reason_2,reason_3,reason_4,month_value,transportation_expense,age,body_mass_index,education,children,pets,probability,prediction
0,0,0,1,6,179,30,19,1,0,0,0.00848617,0
1,0,0,0,6,361,28,27,0,1,4,0.859275,1
0,0,0,1,6,155,34,25,0,2,0,0.0207444,0
0,0,0,1,6,179,40,22,1,2,0,0.0147279,0
1,0,0,0,6,155,34,25,0,2,0,0.711291,1
1,0,0,0,6,225,28,24,0,1,2,0.699664,1
1,0,0,0,6,118,46,25,0,2,0,0.560669,1
0,0,0,1,6,179,30,19,1,0,0,0.00848617,0
0,0,0,1,6,118,37,28,0,0,0,0.00899812,0
1,0,0,0,6,118,37,28,0,0,0,0.513617,1
0,0,0,1,6,378,36,21,0,2,4,0.0436735,0
0,0,1,0,6,118,50,31,0,1,0,0.990422,1
0,0,1,0,6,233,31,21,1,1,8,0.968396,1
0,0,0,1,6,179,30,19,1,0,0,0.00848617,0
0,0,0,0,6,235,48,33,0,1,5,0.00205664,0
0,0,0,0,6,268,33,25,1,0,0,0.00475625,0
0,0,1,0,6,118,50,31,0,1,0,0.990422,1
1,0,0,0,6,179,30,19,1,0,0,0.498847,0
0,0,0,1,6,291,40,25,0,1,1,0.0347711,0
1,0,0,0,7,179,30,19,1,0,0,0.510189,1
0,0,0,1,7,118,37,28,0,0,0,0.0094119,0
0,0,0,1,7,233,31,21,1,1,8,0.00330738,0
1,0,0,0,7,118,37,28,0,0,0,0.524944,1
1,0,0,0,7,118,37,28,0,0,0,0.524944,1
0,0,0,1,7,233,31,21,1,1,8,0.00330738,0
0,0,0,1,7,235,43,38,0,1,0,0.0586316,0
0,0,1,0,7,233,31,21,1,1,8,0.969756,1
1,0,0,0,7,228,58,22,0,2,1,0.631512,1
0,0,0,1,7,118,37,28,0,0,0,0.0094119,0
1,0,0,0,7,228,58,22,0,2,1,0.631512,1
0,0,0,1,7,189,33,25,0,2,2,0.0189274,0
0,0,0,1,7,118,37,28,0,0,0,0.0094119,0
0,0,0,1,7,361,28,27,0,1,4,0.0520781,0
0,0,0,1,7,225,28,24,0,1,2,0.0205303,0
1,0,0,0,7,369,31,25,0,3,0,0.964259,1
1,0,0,0,7,289,33,30,0,2,1,0.907935,1
1,0,0,0,7,235,37,29,1,1,1,0.750098,1
0,0,0,0,7,118,40,34,0,1,8,0.000479114,0
0,0,0,0,7,231,39,35,0,2,2,0.00835268,0
0,0,0,0,7,179,53,25,0,1,1,0.00172931,0
